role	menu_key	path_prefix
HR	dashboard	/dashboard
HR	engineer	/engineer
HR	customer	/customer
HR	project	/project
HR	proposal	/proposal
HR	contract	/contract
HR	ai	/ai
HR	email	/email/template
HR	organization	/organization
HR	work-record	/work-record
HR	approval	/approval
HR	candidate	/candidate
HR	contract-document	/contract-document
HR	resume-ingestion	/resume-ingestion
HR	bp-availability	/bp-availability
HR	bp-availability-ingestion	/bp-availability-ingestion
HR	todo	/todo
HR	payroll	/payroll
HR	document-archive	/document
HR	monthly-closing	/monthly-closing
HR	skill-tag	/skill-tag
HR	search	/search
HR	tasks	/tasks
HR	saved-views	/saved-views
HR	batch-operations	/batch-operations
マネージャー	dashboard	/dashboard
マネージャー	engineer	/engineer
マネージャー	customer	/customer
マネージャー	project	/project
マネージャー	proposal	/proposal
マネージャー	contract	/contract
マネージャー	ai	/ai
マネージャー	email	/email/template
マネージャー	organization	/organization
マネージャー	management-accounting	/management-accounting
マネージャー	bp-company	/bp-company
マネージャー	quotation	/quotation
マネージャー	work-record	/work-record
マネージャー	invoice	/invoice
マネージャー	sales-order	/sales-order
マネージャー	approval	/approval
マネージャー	acceptance	/acceptance
マネージャー	analytics	/analytics
マネージャー	sales-performance	/sales-performance
マネージャー	contract-document	/contract-document
マネージャー	project-ingestion	/project-ingestion
マネージャー	bp-availability	/bp-availability
マネージャー	bp-availability-ingestion	/bp-availability-ingestion
マネージャー	compliance	/compliance
マネージャー	todo	/todo
マネージャー	document-archive	/document
マネージャー	monthly-closing	/monthly-closing
マネージャー	reconciliation	/reconciliation
マネージャー	skill-tag	/skill-tag
マネージャー	search	/search
マネージャー	tasks	/tasks
マネージャー	saved-views	/saved-views
マネージャー	batch-operations	/batch-operations
マネージャー	crm-lead	/crm/leads
マネージャー	crm-opportunity	/crm/opportunities
営業	dashboard	/dashboard
営業	engineer	/engineer
営業	customer	/customer
営業	project	/project
営業	proposal	/proposal
営業	contract	/contract
営業	ai	/ai
営業	email	/email/template
営業	bp-company	/bp-company
営業	quotation	/quotation
営業	work-record	/work-record
営業	invoice	/invoice
営業	sales-order	/sales-order
営業	approval	/approval
営業	acceptance	/acceptance
営業	analytics	/analytics
営業	sales-performance	/sales-performance
営業	candidate	/candidate
営業	contract-document	/contract-document
営業	project-ingestion	/project-ingestion
営業	bp-availability	/bp-availability
営業	bp-availability-ingestion	/bp-availability-ingestion
営業	todo	/todo
営業	document-archive	/document
営業	skill-tag	/skill-tag
営業	search	/search
営業	tasks	/tasks
営業	saved-views	/saved-views
営業	batch-operations	/batch-operations
営業	crm-lead	/crm/leads
営業	crm-opportunity	/crm/opportunities
管理者	dashboard	/dashboard
管理者	engineer	/engineer
管理者	customer	/customer
管理者	project	/project
管理者	proposal	/proposal
管理者	contract	/contract
管理者	ai	/ai
管理者	email	/email/template
管理者	user	/user
管理者	organization	/organization
管理者	management-accounting	/management-accounting
管理者	bp-company	/bp-company
管理者	quotation	/quotation
管理者	work-record	/work-record
管理者	invoice	/invoice
管理者	sales-order	/sales-order
管理者	approval	/approval
管理者	acceptance	/acceptance
管理者	analytics	/analytics
管理者	sales-performance	/sales-performance
管理者	candidate	/candidate
管理者	contract-document	/contract-document
管理者	resume-ingestion	/resume-ingestion
管理者	project-ingestion	/project-ingestion
管理者	bp-availability	/bp-availability
管理者	bp-availability-ingestion	/bp-availability-ingestion
管理者	compliance	/compliance
管理者	todo	/todo
管理者	payroll	/payroll
管理者	document-archive	/document
管理者	monthly-closing	/monthly-closing
管理者	reconciliation	/reconciliation
管理者	system-config	/system-config
管理者	audit-log	/audit-log
管理者	skill-tag	/skill-tag
管理者	search	/search
管理者	tasks	/tasks
管理者	saved-views	/saved-views
管理者	batch-operations	/batch-operations
管理者	crm-lead	/crm/leads
管理者	crm-opportunity	/crm/opportunities
要員	my-timesheet	/my
要員	search	/search
要員	tasks	/tasks
要員	saved-views	/saved-views
要員	batch-operations	/batch-operations
