row_id,source_id,field_semantics,resolution
FM-C-01,SRC-C,"当事者、契約番号、契約締結日",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-C-02,SRC-C,"派遣先事業所の名称・所在地・電話",WORKPLACE_ORG_SNAPSHOT
FM-C-03,SRC-C,"就業場所の名称・所在地・部署・電話",WORKPLACE_ORG_SNAPSHOT
FM-C-04,SRC-C,"組織単位（名称・組織の長の職名）",WORKPLACE_ORG_SNAPSHOT
FM-C-05,SRC-C,"業務内容・政令業務該当",WORK_DESCRIPTION_TYPED
FM-C-06,SRC-C,"業務に伴う責任の程度・権限の有無・内容",RESPONSIBILITY_TYPED
FM-C-07,SRC-C,"派遣期間（開始・終了）",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-C-08,SRC-C,"就業日・休日・休暇除外",WORK_CALENDAR_HISTORY
FM-C-09,SRC-C,"指揮命令者（部署・役職・氏名）",RESPONSIBILITY_TYPED
FM-C-10,SRC-C,"派遣先責任者（部署・役職・氏名・電話）",RESPONSIBILITY_TYPED
FM-C-11,SRC-C,"派遣元責任者（部署・役職・氏名・電話）",RESPONSIBILITY_TYPED
FM-C-12,SRC-C,"就業時間・休憩",WORK_TIME_TYPED
FM-C-13,SRC-C,"時間外・休日労働",OVERTIME_AGREEMENT_SNAPSHOT
FM-C-14,SRC-C,"事業所単位の派遣可能期間の抵触日",LIMITATION_DUAL_TYPED
FM-C-15,SRC-C,"組織単位（個人単位）の派遣可能期間の抵触日",LIMITATION_DUAL_TYPED
FM-C-16,SRC-C,"苦情申出先（派遣元）",COMPLAINT_HISTORY
FM-C-17,SRC-C,"苦情申出先（派遣先）",COMPLAINT_HISTORY
FM-C-18,SRC-C,"苦情処理方法・連携体制",COMPLAINT_HISTORY
FM-C-19,SRC-C,"安全・衛生",SAFETY_TYPED
FM-C-20,SRC-C,"福利厚生",BENEFITS_TYPED
FM-C-21,SRC-C,"派遣人員",HEADCOUNT_TYPED
FM-C-22,SRC-C,"協定対象派遣労働者に限定するか",AGREEMENT_FLAG_TYPED
FM-C-23,SRC-C,"無期雇用/60歳以上の者に限定するか",WORKER_EMPLOYMENT_RESTRICTION_SNAPSHOT
FM-C-24,SRC-C,"派遣労働者の雇用安定措置",EMPLOYMENT_STABILITY_HISTORY
FM-C-25,SRC-C,"派遣先が雇用する場合の紛争防止措置",DIRECT_HIRE_DISPUTE_HISTORY
FM-C-26,SRC-C,"期間制限を受けない業務に係る事項",LIMITATION_EXEMPTION_TYPED
FM-C-27,SRC-C,"紹介予定派遣の予定労働条件",PLANNED_INTRODUCTION_TERMS
FM-E-01,SRC-E,"宛先の派遣労働者氏名・派遣元名・住所・使用者職氏名",WORKER_PII_SNAPSHOT
FM-E-02,SRC-E,"派遣先事業所の名称・所在地・電話",WORKPLACE_ORG_SNAPSHOT
FM-E-03,SRC-E,"就業場所の名称・所在地・部署・電話",WORKPLACE_ORG_SNAPSHOT
FM-E-04,SRC-E,"組織単位",WORKPLACE_ORG_SNAPSHOT
FM-E-05,SRC-E,"業務内容・責任の程度",RESPONSIBILITY_TYPED
FM-E-06,SRC-E,"派遣期間",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-E-07,SRC-E,"事業所単位の抵触日",LIMITATION_DUAL_TYPED
FM-E-08,SRC-E,"個人単位の抵触日",LIMITATION_DUAL_TYPED
FM-E-09,SRC-E,"就業日・休日",WORK_CALENDAR_HISTORY
FM-E-10,SRC-E,"指揮命令者",RESPONSIBILITY_TYPED
FM-E-11,SRC-E,"派遣先責任者・派遣元責任者",RESPONSIBILITY_TYPED
FM-E-12,SRC-E,"就業時間・休憩",WORK_TIME_TYPED
FM-E-13,SRC-E,"時間外・休日労働",OVERTIME_AGREEMENT_SNAPSHOT
FM-E-14,SRC-E,"安全衛生",SAFETY_TYPED
FM-E-15,SRC-E,"福利厚生",BENEFITS_TYPED
FM-E-16,SRC-E,"苦情申出先・処理方法・連携体制",COMPLAINT_HISTORY
FM-E-17,SRC-E,"雇用安定措置",EMPLOYMENT_STABILITY_HISTORY
FM-E-18,SRC-E,"紹介予定派遣",PLANNED_INTRODUCTION_HISTORY
FM-E-19,SRC-E,"紛争防止措置",DIRECT_HIRE_DISPUTE_HISTORY
FM-E-20,SRC-E,"派遣料金",DISPATCH_FEE_TYPED
FM-E-21,SRC-E,"社会保険の加入手続きが完了していない場合の理由（⑱）",INSURANCE_TYPED
FM-E-22,SRC-E,"保険/賃金/就業場所/喫煙措置（予定労働条件）",PLANNED_INTRODUCTION_TERMS
FM-N-01,SRC-N,"通知日・宛先・派遣元所在地・事業所名・代表者",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-N-02,SRC-N,"契約締結日・契約No",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-N-03,SRC-N,"派遣労働者の氏名",WORKER_PII_SNAPSHOT
FM-N-04,SRC-N,"性別",WORKER_PII_SNAPSHOT
FM-N-05,SRC-N,"年齢区分（45歳以上/18歳未満/その他）",WORKER_PII_SNAPSHOT
FM-N-06,SRC-N,"60歳以上/60歳未満",WORKER_EMPLOYMENT_RESTRICTION_SNAPSHOT
FM-N-07,SRC-N,"健康保険の資格取得届提出有無",INSURANCE_TYPED
FM-N-08,SRC-N,"厚生年金保険の資格取得届提出有無",INSURANCE_TYPED
FM-N-09,SRC-N,"雇用保険の資格取得届提出有無",INSURANCE_TYPED
FM-N-10,SRC-N,"協定対象派遣労働者か否か",AGREEMENT_FLAG_TYPED
FM-N-11,SRC-N,"派遣労働者の雇用期間",WORKER_EMPLOYMENT_RESTRICTION_SNAPSHOT
FM-N-12,SRC-N,"契約内容と明示内容の差異（派遣期間・就業日）",NOTIFICATION_DIFFERENCE_HISTORY
FM-N-13,SRC-N,"契約内容と明示内容の差異（就業時間・休憩）",NOTIFICATION_DIFFERENCE_HISTORY
FM-N-14,SRC-N,"契約内容と明示内容の差異（責任者）",NOTIFICATION_DIFFERENCE_HISTORY
FM-N-15,SRC-N,"契約内容と明示内容の差異（時間外・休日労働）",NOTIFICATION_DIFFERENCE_HISTORY
FM-N-16,SRC-N,"契約内容と明示内容の差異（その他）",NOTIFICATION_DIFFERENCE_HISTORY
FM-N-17,SRC-N,"保険証等の写しの提示/送付",DOCUMENT_DELIVERY
FM-L-01,SRC-L,"派遣労働者氏名",WORKER_PII_SNAPSHOT
FM-L-02,SRC-L,"無期/有期雇用・雇用期間",WORKER_EMPLOYMENT_RESTRICTION_SNAPSHOT
FM-L-03,SRC-L,"協定対象派遣労働者か否か",AGREEMENT_FLAG_TYPED
FM-L-04,SRC-L,"派遣期間",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-L-05,SRC-L,"60歳以上か否かの別（④）",WORKER_EMPLOYMENT_RESTRICTION_SNAPSHOT
FM-L-06,SRC-L,"健康保険の提出有無・未加入理由・取得予定日",INSURANCE_TYPED
FM-L-07,SRC-L,"厚生年金保険の提出有無・未加入理由・取得予定日",INSURANCE_TYPED
FM-L-08,SRC-L,"雇用保険の提出有無・未加入理由・取得予定日",INSURANCE_TYPED
FM-L-09,SRC-L,"派遣先名称",CONTRACT_PARTY_PERIOD_SNAPSHOT
FM-L-10,SRC-L,"派遣先事業所名称・所在地・電話",WORKPLACE_ORG_SNAPSHOT
FM-L-11,SRC-L,"就業場所名称・所在地・電話",WORKPLACE_ORG_SNAPSHOT
FM-L-12,SRC-L,"組織単位",WORKPLACE_ORG_SNAPSHOT
FM-L-13,SRC-L,"業務内容・政令業務該当",WORK_DESCRIPTION_TYPED
FM-L-14,SRC-L,"業務に伴う責任の程度",RESPONSIBILITY_TYPED
FM-L-15,SRC-L,"就業日",WORK_CALENDAR_HISTORY
FM-L-16,SRC-L,"派遣先責任者",RESPONSIBILITY_TYPED
FM-L-17,SRC-L,"派遣元責任者",RESPONSIBILITY_TYPED
FM-L-18,SRC-L,"就業時間・休憩",WORK_TIME_TYPED
FM-L-19,SRC-L,"時間外・休日労働",OVERTIME_AGREEMENT_SNAPSHOT
FM-L-20,SRC-L,"月次就業状況・タイムシート",LEDGER_WORK_HISTORY
FM-L-21,SRC-L,"苦情処理状況（申出日）",COMPLAINT_HISTORY
FM-L-22,SRC-L,"苦情内容",COMPLAINT_HISTORY
FM-L-23,SRC-L,"苦情処理状況・結果通知",COMPLAINT_HISTORY
FM-L-24,SRC-L,"教育訓練の内容",TRAINING_HISTORY
FM-L-25,SRC-L,"キャリア・コンサルティング",CAREER_HISTORY
FM-L-26,SRC-L,"希望する雇用安定措置",EMPLOYMENT_STABILITY_HISTORY
FM-L-27,SRC-L,"雇用安定措置の内容",EMPLOYMENT_STABILITY_HISTORY
FM-L-28,SRC-L,"期間制限を受けない業務",LIMITATION_EXEMPTION_TYPED
FM-L-29,SRC-L,"紹介予定派遣に関する事項",PLANNED_INTRODUCTION_HISTORY
